data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);
20200102;0,1260;3,8000;2,6589;0,4878;2,9273;2,5492;2,8215;4,2571;1,2901;3,9191;5,0211;0,1603;3,4910;0,1675;0,5699;3,1302;0,4328;0,4059;0,5719;0,8901;2,1766;0,6376;1,1002;0,5053;0,0749;0,2014;0,2726;0,9453;0,9297;0,0616;2,7360;5,3267;0,3284;0,5457;5,2613;1;001/A/NBP/2020;
20200103;0,1267;3,8213;2,6507;0,4910;2,9430;2,5409;2,8299;4,2569;1,2921;3,9254;4,9934;0,1615;3,5358;0,1681;0,5696;3,1050;0,4320;0,4045;0,5718;0,8905;2,1765;0,6393;1,1017;0,5100;0,0748;0,2014;0,2667;0,9494;0,9316;0,0615;2,7442;5,3248;0,3274;0,5481;5,2637;2;002/A/NBP/2020;
20200107;0,1254;3,7861;2,6097;0,4871;2,9188;2,5183;2,8071;4,2347;1,2805;3,8992;4,9879;0,1595;3,4905;0,1677;0,5666;3,0843;0,4308;0,4025;0,5686;0,8869;2,1651;0,6341;1,0918;0,4894;0,0745;0,2011;0,2666;0,9321;0,9250;0,0614;2,7287;5,2736;0,3249;0,5459;5,2393;3;003/A/NBP/2020;
20200108;0,1257;3,8123;2,6199;0,4901;2,9320;2,5386;2,8238;4,2465;1,2815;3,9245;5,0018;0,1601;3,5155;0,1680;0,5682;3,0929;0,4304;0,4037;0,5701;0,8887;2,1712;0,6399;1,1004;0,4951;0,0750;0,2020;0,2674;0,9372;0,9295;0,0616;2,7441;5,3118;0,3261;0,5492;5,2618;4;004/A/NBP/2020;
20200109;0,1262;3,8251;2,6233;0,4924;2,9299;2,5342;2,8307;4,2459;1,2807;3,9265;4,9837;0,1584;3,4954;0,1681;0,5681;3,0969;0,4298;0,4035;0,5702;0,8888;2,1709;0,6505;1,1042;0,5047;0,0754;0,2034;0,2708;0,9411;0,9351;0,0625;2,7618;5,3563;0,3298;0,5516;5,2774;5;005/A/NBP/2020;
20200110;0,1266;3,8272;2,6317;0,4927;2,9278;2,5324;2,8360;4,2467;1,2721;3,9265;5,0020;0,1599;3,4901;0,1681;0,5683;3,0975;0,4305;0,4027;0,5704;0,8886;2,1713;0,6516;1,1030;0,4981;0,0758;0,2033;0,2689;0,9349;0,9388;0,0624;2,7808;5,3875;0,3303;0,5528;5,2725;6;006/A/NBP/2020;
20200113;0,1261;3,8101;2,6312;0,4903;2,9176;2,5274;2,8290;4,2353;1,2645;3,9170;4,9432;0,1593;3,4687;0,1678;0,5667;3,0870;0,4285;0,4006;0,5688;0,8860;2,1655;0,6501;1,0985;0,4925;0,0755;0,2029;0,2653;0,9302;0,9380;0,0625;2,7879;5,3836;0,3295;0,5531;5,2674;7;007/A/NBP/2020;
20200114;0,1256;3,8019;2,6235;0,4889;2,9093;2,5180;2,8217;4,2323;1,2723;3,9208;4,9322;0,1583;3,4558;0,1679;0,5663;3,0803;0,4273;0,4013;0,5684;0,8854;2,1639;0,6457;1,0970;0,4908;0,0751;0,2020;0,2634;0,9167;0,9331;0,0619;2,7812;5,3686;0,3287;0,5522;5,2496;8;008/A/NBP/2020;
20200115;0,1255;3,7992;2,6167;0,4889;2,9055;2,5094;2,8191;4,2279;1,2690;3,9317;4,9357;0,1582;3,4580;0,1682;0,5658;3,1042;0,4271;0,4006;0,5679;0,8846;2,1617;0,6455;1,0978;0,4933;0,0748;0,2020;0,2632;0,9192;0,9322;0,0617;2,7802;5,3603;0,3280;0,5516;5,2516;9;009/A/NBP/2020;
